trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.355, 'e': 0.45840601130522357}",20,9,15.006056419965201,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.355, 'e': 0.4538447952823558}",30,0,1.1986907696462594,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.355, 'e': 0.44932896411722156}",30,10,-31.358960354272078,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.355, 'e': 0.44485806622294105}",20,0,-11.70963070885966,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.355, 'e': 0.4404316545059992}",20,0,-4.065609765805988,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.355, 'e': 0.43604928632153556}",30,15,-8.435207934046915,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.355, 'e': 0.43171052342907973}",20,12,8.497410298449369,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.355, 'e': 0.4274149319487267}",20,7,-32.816696629105664,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.355, 'e': 0.4231620823177489}",20,0,-14.359045385506729,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.355, 'e': 0.418951549247639}",20,8,-31.152633214083764,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.355, 'e': 0.4147829116815814}",30,16,5.9498667196796315,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.355, 'e': 0.4106557527523455}",25,0,-178.53174125782147,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
90,False,"{'a': 0.355, 'e': 0.40656965974059905}",25,15,13.999972325716374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.355, 'e': 0.40252422403363597}",20,11,-10.983105549779252,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.355, 'e': 0.39851904108451414}",20,0,-1.9991831975306127,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.355, 'e': 0.3945537103716011}",30,0,15.126438172510918,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.355, 'e': 0.3906278353585211}",20,2,11.442831479782807,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.355, 'e': 0.3867410234545012}",25,1,-49.212239498482894,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.355, 'e': 0.382892885975112}",25,13,-36.03517304641119,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.355, 'e': 0.37908303810339883}",20,9,19.865319657213636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.355, 'e': 0.37531109885139957}",30,7,-37.80505788422757,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
99,False,"{'a': 0.355, 'e': 0.3715766910220457}",35,26,17.524838953588688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.355, 'e': 0.36787944117144233}",20,0,-26.691974453216922,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.355, 'e': 0.3642189795715233}",20,16,7.754087610743103,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.355, 'e': 0.3605949401730783}",25,16,-20.943552871620955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.355, 'e': 0.3570069605691474}",25,2,-59.321185307510135,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
104,False,"{'a': 0.355, 'e': 0.3534546819587801}",20,5,22.27276430609452,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.355, 'e': 0.3499377491111553}",20,0,-7.212794737739813,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.355, 'e': 0.3464558103300574}",20,0,10.342414780633325,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.355, 'e': 0.34300851741870664}",25,11,16.24153089812369,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.355, 'e': 0.3395955256449391}",25,6,-12.540295173669277,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.355, 'e': 0.3362164937067333}",20,13,4.85937053144685,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.355, 'e': 0.3328710836980795}",20,6,11.813440297168196,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.355, 'e': 0.32955896107518906}",25,18,1.218310748412775,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.355, 'e': 0.32627979462303947}",20,11,17.30863802532174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.355, 'e': 0.3230332564222529}",30,2,-19.454180876462022,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.355, 'e': 0.31981902181630384}",20,4,-1.376549463713892,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.355, 'e': 0.31663676937905316}",30,22,13.199421326683735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.355, 'e': 0.3134861808826053}",25,0,-10.08885276872628,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.355, 'e': 0.31036694126548503}",20,0,24.335386374268957,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.355, 'e': 0.30727873860113125}",20,8,5.655238297930103,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.355, 'e': 0.3042212640667041}",20,9,17.842243578780703,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.355, 'e': 0.30119421191220214}",20,3,-23.632400876402443,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
121,False,"{'a': 0.355, 'e': 0.2981972794298874}",20,14,12.396969788916685,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.355, 'e': 0.2952301669240142}",20,10,-16.15232370007845,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.355, 'e': 0.2922925776808594}",25,3,-16.74765281500594,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.355, 'e': 0.28938421793905067}",25,9,-36.388518529108076,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.355, 'e': 0.2865047968601901}",20,5,-13.251073135522207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.355, 'e': 0.28365402649977034}",25,17,-0.3449540352651832,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.355, 'e': 0.2808316217783798}",30,11,12.922218331763075,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.355, 'e': 0.27803730045319414}",20,9,-12.184792973571858,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.355, 'e': 0.27527078308975234}",20,12,-33.480896130997955,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
